,Player,Team,GP,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
163,Justise Winslow,POR,19,28.8,8.2,3.3,8.1,41.2,0.6,1.8,32.4,0.9,1.4,69.2,1.6,3.8,5.4,3.7,1.0,0.4,1.5,11.9
164,Tari Eason,HOU,21,18.1,8.1,3.0,7.6,40.3,0.7,2.1,34.1,1.3,1.6,84.8,2.1,3.1,5.2,0.9,1.4,0.4,0.9,10.5
165,Goran Dragic,CHI,20,17.6,8.1,3.1,7.2,42.7,1.2,2.9,40.4,0.9,1.3,65.4,0.5,1.2,1.6,3.2,0.3,0.2,1.3,7.6
166,Jeremy Sochan,SAS,20,24.9,8.1,3.6,7.5,47.3,0.4,2.2,18.2,0.6,1.0,55.0,1.3,2.8,4.1,2.0,1.0,0.5,1.6,9.6
167,Terance Mann,LAC,23,21.3,8.0,3.2,5.7,55.7,0.6,1.8,33.3,1.0,1.4,71.9,0.8,2.4,3.2,1.8,0.6,0.2,1.1,9.7
168,Joe Harris,BKN,21,25.6,8.0,2.8,7.5,37.3,1.8,5.4,33.6,0.5,0.7,73.3,0.5,2.5,3.0,1.7,0.5,0.3,0.6,8.0
169,Jeff Green,DEN,16,19.9,7.9,2.9,5.6,52.8,0.3,1.3,25.0,1.8,2.3,77.8,0.8,1.8,2.6,1.2,0.4,0.2,1.0,8.1
170,Taurean Prince,MIN,18,19.6,7.9,2.8,5.7,49.5,1.2,3.0,38.9,1.1,1.2,86.4,0.3,2.2,2.5,1.2,0.3,0.2,1.2,7.9
171,Killian Hayes,DET,24,24.0,7.9,3.2,8.5,37.3,0.9,2.8,31.8,0.7,0.8,84.2,0.5,2.2,2.7,4.6,1.1,0.4,1.7,9.5
172,Troy Brown Jr.,LAL,17,26.2,7.8,3.1,7.0,43.7,1.1,3.2,32.7,0.6,0.6,100,1.0,3.9,4.9,1.0,0.7,0.1,1.0,9.6
173,Steven Adams,MEM,20,26.8,7.8,3.5,5.6,61.6,0.0,0.1,0.0,0.9,3.0,30.0,5.0,6.0,11.0,2.2,0.8,1.0,2.2,16.2
174,Will Barton,WAS,22,22.2,7.7,2.8,7.8,36.3,1.1,3.5,32.9,1.0,1.1,87.5,0.3,2.9,3.1,2.5,0.7,0.3,1.0,8.2
175,Naz Reid,MIN,16,13.5,7.6,3.0,5.7,52.7,0.7,2.3,30.6,0.9,1.4,65.2,0.4,2.1,2.6,0.6,0.3,0.8,0.7,8.1
176,Torrey Craig,PHX,21,23.6,7.6,3.0,6.2,47.3,1.2,3.2,38.2,0.5,0.6,76.9,1.9,3.0,5.0,1.4,0.6,0.8,0.7,11.3
177,Keita Bates-Diop,SAS,20,16.7,7.6,3.1,6.0,51.3,0.4,1.3,28.0,1.2,1.4,82.1,1.3,1.6,2.9,0.7,0.7,0.2,0.8,8.2
178,Aaron Nesmith,IND,17,21.9,7.6,2.5,6.9,36.4,1.4,4.1,34.3,1.1,1.4,79.2,0.5,2.7,3.2,1.3,0.5,0.6,1.1,7.5
179,Dewayne Dedmon,MIA,18,12.6,7.6,2.8,4.9,58.0,0.5,1.3,39.1,1.4,1.8,75.8,0.9,2.5,3.4,0.7,0.2,0.4,0.6,9.2
180,Deni Avdija,WAS,22,24.2,7.5,2.8,6.8,40.7,0.8,2.7,28.3,1.2,1.6,75.0,0.9,4.2,5.1,2.5,0.7,0.7,1.4,10.7
181,Onyeka Okongwu,ATL,21,20.6,7.5,3.1,5.0,63.5,0.0,0.1,0.0,1.2,1.7,74.3,2.2,3.9,6.1,1.0,0.5,0.8,0.9,12.9
182,Sam Hauser,BOS,22,17.0,7.5,2.5,5.0,51.4,2.1,4.4,47.9,0.3,0.4,77.8,0.3,2.1,2.4,0.7,0.3,0.3,0.3,8.4
183,Talen Horton-Tucker,UTA,23,16.7,7.5,2.8,7.0,39.5,0.8,2.9,26.9,1.1,1.5,76.5,0.5,2.0,2.5,2.2,0.8,0.4,1.3,7.5
